Product ID,Product Name,Scenario,Total Emissions (kgCO2e),Yield (%),Intensity (kgCO2e/m²),Recovered Mass (kg),[Stage] Removal,[Stage] Transport: Site->Processor,[Stage] Pre-Processing (Breaking),[Stage] Dismantling,[Stage] Disassembly,[Stage] Repurposing,[Stage] Reconditioning,[Stage] Repair,[Stage] IGU Assembly,[Stage] Packaging,[Stage] Transport: Processor->Reuse,[Stage] Transport: Processor->Float,[Stage] Transport: Open-Loop,[Stage] Transport: Disposal,[Stage] Installation,Origin,Processor,Route A Mode,Route A Dist (km),Emissions_Dismantling (E_site)
1. ORIGINAL COATINGS 100% AIR,1.1_DGU_6_16_6_Bronze,System Reuse,518.578,100.0,4.149,3835.002,0.0,288.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.448,0.0,0.0,0.0,18.75,"51.9994572,4.3627245","48.8534951,2.3483915",HGV lorry,460.764,18.75
1. ORIGINAL COATINGS 100% AIR,1.1_DGU_6_16_6_Bronze,Component Reuse,1051.868,80.0,10.519,3068.002,0.0,288.63,0.0,0.0,100.0,0.0,150.0,0.0,323.988,0.0,155.5,0.0,0.0,0.0,15.0,"51.9994572,4.3627245","48.8534951,2.3483915",HGV lorry,460.764,18.75
1. ORIGINAL COATINGS 100% AIR,1.1_DGU_6_16_6_Bronze,Component Repurpose,835.729,90.0,7.429,3451.502,0.0,288.63,0.0,0.0,112.5,225.0,0.0,0.0,0.0,0.0,173.974,0.0,0.0,0.0,16.875,"51.9994572,4.3627245","48.8534951,2.3483915",HGV lorry,460.764,18.75
1. ORIGINAL COATINGS 100% AIR,1.1_DGU_6_16_6_Bronze,Closed-loop Recycling,307.38,80.0,3.074,3068.002,18.75,288.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"51.9994572,4.3627245","48.8534951,2.3483915",HGV lorry,460.764,0.0
1. ORIGINAL COATINGS 100% AIR,1.1_DGU_6_16_6_Bronze,Open-loop Recycling,307.38,20.0,12.295,767.0,0.0,288.63,0.0,18.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"51.9994572,4.3627245","48.8534951,2.3483915",HGV lorry,460.764,0.0
1. ORIGINAL COATINGS 100% AIR,1.1_DGU_6_16_6_Bronze,Straight to Landfill,295.82,0.0,0.0,0.0,0.0,0.0,0.0,18.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,277.07,0.0,"51.9994572,4.3627245","48.8534951,2.3483915",HGV lorry,460.764,0.0
1. ORIGINAL COATINGS 100% AIR,1.2_DGU_44.2_16_6_Bronze,System Reuse,1956.091,100.0,15.649,15772.502,0.0,1151.088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,767.503,0.0,0.0,0.0,18.75,"51.9994572,4.3627245","48.8534951,2.3483915",HGV lorry,460.764,18.75
1. ORIGINAL COATINGS 100% AIR,1.2_DGU_44.2_16_6_Bronze,Component Reuse,2374.37,80.0,23.744,12618.002,0.0,1151.088,0.0,0.0,100.0,0.0,150.0,0.0,323.988,0.0,615.544,0.0,0.0,0.0,15.0,"51.9994572,4.3627245","48.8534951,2.3483915",HGV lorry,460.764,18.75
1. ORIGINAL COATINGS 100% AIR,1.2_DGU_44.2_16_6_Bronze,Component Repurpose,2215.737,90.0,19.695,14195.252,0.0,1151.088,0.0,0.0,112.5,225.0,0.0,0.0,0.0,0.0,691.523,0.0,0.0,0.0,16.875,"51.9994572,4.3627245","48.8534951,2.3483915",HGV lorry,460.764,18.75
1. ORIGINAL COATINGS 100% AIR,1.2_DGU_44.2_16_6_Bronze,Closed-loop Recycling,1169.838,0.0,0.0,0.0,18.75,1151.088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"51.9994572,4.3627245","48.8534951,2.3483915",HGV lorry,460.764,0.0
