Product ID,Product Name,Scenario,Total Emissions (kgCO2e/batch),Total Emission Intensity (kgCO2e/m2),Initial Global Area (m2),Recovered Yield (%),Recovered Yield for Float Glass (%),Recovered Mass (kg),[Stage] Building Site Dismantling,[Stage] Transport: Site->Processor,[Stage] System Disassembly,[Stage] Repair,[Stage] Recondition,[Stage] Repurpose,[Stage] Glass Reprocessing,[Stage] New Glass,[Stage] IGU Re-Assembly,[Stage] Packaging,[Stage] Transport: Processor->Next Use,[Stage] Next Use Installation,[Stage] Transport: Processor->Open-Loop Facility,[Stage] Transport: Landfill Disposal,Origin,Processor,Route A Mode,Route A Dist (km)
1. ORIGINAL COATINGS 100% AIR,1.1_DGU_6_16_6_Bronze,System Reuse (Direct),5020.3,52.3,96.0,72.0,72.0,2139.6,1368.0,594.7,0.0,0.0,0.0,0.0,0.0,640.7,619.7,0.0,422.7,1368.0,0.0,6.5,"41.3825802,2.177073","50.3309169,3.250989",HGV lorry,1233.57
1. ORIGINAL COATINGS 100% AIR,1.1_DGU_6_16_6_Bronze,System Reuse (Repair),4747.1,49.4,96.0,81.0,81.0,2407.1,1368.0,594.7,0.0,1.4,0.0,0.0,0.0,434.8,553.1,0.0,422.7,1368.0,0.0,4.4,"41.3825802,2.177073","50.3309169,3.250989",HGV lorry,1233.57
1. ORIGINAL COATINGS 100% AIR,1.1_DGU_6_16_6_Bronze,Component Reuse,5835.6,60.8,96.0,72.0,72.0,2139.6,1368.0,594.7,2.6,0.0,1.4,0.0,0.0,507.0,1564.7,0.0,422.7,1368.0,0.0,6.5,"41.3825802,2.177073","50.3309169,3.250989",HGV lorry,1233.57
1. ORIGINAL COATINGS 100% AIR,1.1_DGU_6_16_6_Bronze,Remanufacture,6688.7,69.7,96.0,81.0,81.0,2407.1,1368.0,594.7,2.6,0.0,0.0,0.0,0.0,1361.5,1564.7,0.0,422.7,1368.0,0.0,6.5,"41.3825802,2.177073","50.3309169,3.250989",HGV lorry,1233.57
1. ORIGINAL COATINGS 100% AIR,1.1_DGU_6_16_6_Bronze,Repurpose,8022.0,83.6,96.0,72.0,0.0,2139.6,1368.0,594.7,2.6,0.0,0.0,3.5,0.0,2288.2,1564.7,0.0,825.9,1368.0,0.0,6.5,"41.3825802,2.177073","50.3309169,3.250989",HGV lorry,1233.57
1. ORIGINAL COATINGS 100% AIR,1.1_DGU_6_16_6_Bronze,Closed-loop (Intact),7239.3,75.4,96.0,80.0,80.0,2139.6,1368.0,594.7,2.6,0.0,0.0,0.0,1112.6,640.7,1564.7,0.0,422.7,1368.0,165.6,2.3,"41.3825802,2.177073","50.3309169,3.250989",HGV lorry,1233.57
1. ORIGINAL COATINGS 100% AIR,1.1_DGU_6_16_6_Bronze,Closed-loop (Broken),7161.9,74.6,96.0,80.0,80.0,2139.6,1368.0,517.3,0.0,0.0,0.0,0.0,1112.6,640.7,1564.7,0.0,422.7,1368.0,165.6,2.3,"41.3825802,2.177073","50.3309169,3.250989",HGV lorry,1233.57
1. ORIGINAL COATINGS 100% AIR,1.1_DGU_6_16_6_Bronze,Open-loop (Intact),7963.5,83.0,96.0,80.0,0.0,0.0,1368.0,594.7,2.6,0.0,0.0,0.0,0.0,2288.2,1564.7,0.0,412.9,1368.0,364.6,2.3,"41.3825802,2.177073","50.3309169,3.250989",HGV lorry,1233.57
1. ORIGINAL COATINGS 100% AIR,1.1_DGU_6_16_6_Bronze,Open-loop (Broken),7886.1,82.1,96.0,80.0,0.0,0.0,1368.0,517.3,0.0,0.0,0.0,0.0,0.0,2288.2,1564.7,0.0,412.9,1368.0,364.6,2.3,"41.3825802,2.177073","50.3309169,3.250989",HGV lorry,1233.57
1. ORIGINAL COATINGS 100% AIR,1.1_DGU_6_16_6_Bronze,Landfill,5945.1,61.9,96.0,0.0,0.0,0.0,288.0,0.0,0.0,0.0,0.0,0.0,0.0,2288.2,1564.7,0.0,412.9,1368.0,0.0,23.3,"41.3825802,2.177073","50.3309169,3.250989",HGV lorry,1233.57
