Product ID,Product Name,Scenario,Total Emissions (kgCO2e/batch),Total Emission Intensity (kgCO2e/m2),Initial Global Area (m2),Recovered Yield (%),Recovered Yield for Float Glass (%),Recovered Mass (kg),[Stage] Building Site Dismantling,[Stage] Transport: Site->Processor,[Stage] System Disassembly,[Stage] Repair,[Stage] Recondition,[Stage] Repurpose,[Stage] Glass Reprocessing,[Stage] New Glass,[Stage] IGU Re-Assembly,[Stage] Packaging,[Stage] Transport: Processor->Next Use,[Stage] Next Use Installation,[Stage] Transport: Processor->Open-Loop Facility,[Stage] Transport: Landfill Disposal,Origin,Processor,Route A Mode,Route A Dist (km)
1. ORIGINAL COATINGS 100% AIR,1.1_DGU_6_16_6_Bronze,System Reuse (Direct),4085.9,42.6,96.0,72.0,72.0,2139.6,1368.0,57.1,0.0,0.0,0.0,0.0,0.0,640.7,619.7,0.0,25.9,1368.0,0.0,6.5,"49.8941708,2.2956951","50.3309169,3.250989",HGV lorry,118.471
1. ORIGINAL COATINGS 100% AIR,1.1_DGU_6_16_6_Bronze,System Reuse (Repair),3812.7,39.7,96.0,81.0,81.0,2407.1,1368.0,57.1,0.0,1.4,0.0,0.0,0.0,434.8,553.1,0.0,25.9,1368.0,0.0,4.4,"49.8941708,2.2956951","50.3309169,3.250989",HGV lorry,118.471
1. ORIGINAL COATINGS 100% AIR,1.1_DGU_6_16_6_Bronze,Component Reuse,4901.1,51.1,96.0,72.0,72.0,2139.6,1368.0,57.1,2.6,0.0,1.4,0.0,0.0,507.0,1564.7,0.0,25.9,1368.0,0.0,6.5,"49.8941708,2.2956951","50.3309169,3.250989",HGV lorry,118.471
1. ORIGINAL COATINGS 100% AIR,1.1_DGU_6_16_6_Bronze,Remanufacture,5754.2,59.9,96.0,81.0,81.0,2407.1,1368.0,57.1,2.6,0.0,0.0,0.0,0.0,1361.5,1564.7,0.0,25.9,1368.0,0.0,6.5,"49.8941708,2.2956951","50.3309169,3.250989",HGV lorry,118.471
1. ORIGINAL COATINGS 100% AIR,1.1_DGU_6_16_6_Bronze,Repurpose,6709.1,69.9,96.0,72.0,0.0,2139.6,1368.0,57.1,2.6,0.0,0.0,3.5,0.0,2288.2,1564.7,0.0,50.5,1368.0,0.0,6.5,"49.8941708,2.2956951","50.3309169,3.250989",HGV lorry,118.471
1. ORIGINAL COATINGS 100% AIR,1.1_DGU_6_16_6_Bronze,Closed-loop (Intact),6156.3,64.1,96.0,80.0,80.0,2139.6,1368.0,57.1,2.6,0.0,0.0,0.0,1112.6,640.7,1564.7,0.0,25.9,1368.0,17.0,2.3,"49.8941708,2.2956951","50.3309169,3.250989",HGV lorry,118.471
1. ORIGINAL COATINGS 100% AIR,1.1_DGU_6_16_6_Bronze,Closed-loop (Broken),6148.8,64.1,96.0,80.0,80.0,2139.6,1368.0,49.7,0.0,0.0,0.0,0.0,1112.6,640.7,1564.7,0.0,25.9,1368.0,17.0,2.3,"49.8941708,2.2956951","50.3309169,3.250989",HGV lorry,118.471
1. ORIGINAL COATINGS 100% AIR,1.1_DGU_6_16_6_Bronze,Open-loop (Intact),6741.1,70.2,96.0,80.0,0.0,0.0,1368.0,57.1,2.6,0.0,0.0,0.0,0.0,2288.2,1564.7,0.0,25.3,1368.0,67.5,2.3,"49.8941708,2.2956951","50.3309169,3.250989",HGV lorry,118.471
1. ORIGINAL COATINGS 100% AIR,1.1_DGU_6_16_6_Bronze,Open-loop (Broken),6733.7,70.1,96.0,80.0,0.0,0.0,1368.0,49.7,0.0,0.0,0.0,0.0,0.0,2288.2,1564.7,0.0,25.3,1368.0,67.5,2.3,"49.8941708,2.2956951","50.3309169,3.250989",HGV lorry,118.471
1. ORIGINAL COATINGS 100% AIR,1.1_DGU_6_16_6_Bronze,Landfill,5557.4,57.9,96.0,0.0,0.0,0.0,288.0,0.0,0.0,0.0,0.0,0.0,0.0,2288.2,1564.7,0.0,25.3,1368.0,0.0,23.3,"49.8941708,2.2956951","50.3309169,3.250989",HGV lorry,118.471
